日付,国内株式,先進国株式,全世界株式,米国株式,バランス
2018-04-11,9313.21515647744,10980,9996.43783879854,9411.27896124975,10433
2018-04-12,9302.02092430859,10912,9940.91308984271,9342.4726110773,10426
2018-04-13,9353.74599708879,11027,10037.6847951657,9465.78788800974,10445
2018-04-16,9377.67849344978,11020,10025.7866346752,9446.12893081761,10445
2018-04-17,9381.92458151383,11038,10029.752688172,9486.34043416515,10433
2018-04-18,9516.25536754003,11147,10116.609259753,9598.03905457497,10493
2018-04-19,9530.15165574964,11201,10176.1000622056,9631.10184621627,10530
2018-04-20,9517.4133915575,11146,10138.8191593353,9575.699330493,10502
2018-04-23,9485.37472707424,11105,10094.3993601706,9526.55193751268,10478
2018-04-24,9567.20842430859,11192,10160.2358482183,9607.86853317103,10512
2018-04-25,9539.8018558952,11117,10101.5382564649,9490.80837898154,10514
2018-04-26,9584.96479257642,11151,10119.3854972007,9556.04037330087,10518
2018-04-27,9650.97216157205,11229,10185.6185905981,9648.97362548184,10549
2018-05-01,9667.57050582242,11197,10179.6695103528,9581.06086427267,10589
2018-05-02,9652.51619359534,11244,10219.3300453212,9650.7608034084,10598
2018-05-07,9649.42812954876,11188,10136.8361325869,9602.50699939136,10524
2018-05-08,9667.57050582242,11226,10167.7713498623,9631.10184621627,10543
2018-05-09,9624.72361717613,11251,10196.3269350395,9664.16463785758,10521
2018-05-10,9662.93840975255,11411,10331.9659646317,9818.75552850477,10591
2018-05-11,9776.03875545851,11458,10381.1450279925,9868.79651044837,10638
2018-05-14,9822.74572416303,11474,10397.0092419799,9872.37086630148,10644
2018-05-15,9802.28729985444,11527,10448.1713320892,9921.5182592818,10644
2018-05-16,9759.05440320233,11510,10420.0123522616,9905.43365794279,10591
2018-05-17,9810.77947598253,11545,10455.3102283835,9950.11310610671,10619
2018-05-18,9850.53830058224,11620,10507.6621345419,9999.26049908704,10634
2018-05-21,9881.41894104803,11597,10483.0726028615,9986.75025360114,10620
2018-05-22,9862.89055676856,11670,10541.7701946148,10047.5143031041,10644
2018-05-23,9746.70214701601,11638,10520.7501110815,10010.8771556097,10637
2018-05-24,9637.46188136827,11480,10373.2129209988,9933.13491580442,10547
2018-05-25,9643.63800946143,11440,10339.8980716253,9904.54006897951,10537
2018-05-28,9656.76228165939,11406,10314.9119345952,9875.05163319132,10533
2018-05-29,9603.10716885007,11354,10268.1125033324,9850.03114221952,10504
2018-05-30,9458.35416666667,11119,10059.4980893984,9664.16463785758,10392
2018-05-31,9536.3277838428,11284,10181.6525371012,9815.18117265165,10447
2018-06-01,9524.3615356623,11250,10164.9951124145,9771.39531345101,10456
2018-06-04,9654.44623362446,11433,10329.1897271839,9941.17721647393,10552
2018-06-05,9681.46679403202,11514,10415.2530880654,10009.0899776831,10615
2018-06-06,9718.52356259098,11509,10406.5277703723,10009.9835666464,10595
2018-06-07,9803.83133187773,11632,10514.8010308362,10126.1501318726,10649
2018-06-08,9747.08815502184,11597,10481.089576113,10093.0873402313,10610
2018-06-11,9794.95314774381,11557,10433.1003288012,10081.4706837087,10581
2018-06-12,9826.21979621543,11682,10542.1667999645,10181.5526475959,10637
2018-06-13,9864.04858078603,11704,10562.3936727984,10208.3603164942,10649
2018-06-14,9766.00254730713,11666,10524.3195592287,10156.5321566241,10608
2018-06-15,9814.63955604076,11697,10538.993957167,10217.296206127,10598
2018-06-18,9740.52601892285,11656,10495.3673687017,10194.0628930818,10573
2018-06-19,9567.59443231441,11585,10423.9784057585,10133.2988435788,10509
2018-06-20,9686.09889010189,11502,10334.3455967298,10088.6193954149,10467
2018-06-21,9745.15811499272,11568,10399.7854794277,10138.6603773585,10525
2018-06-22,9669.88655385735,11461,10296.6680885097,10037.684824508,10486
2018-06-25,9593.07096069869,11483,10316.498355994,10024.2809900588,10480
